Assumptions,Value
Projection Period,12 Months
Monthly Price,2.99
Start Customers,50
Growth Rate (%),8
Transactions/User,0
Tx Revenue/Unit,0
Tx Cost/Unit,0
,
Month,Total Revenue,MRR,Tx Revenue,Total Costs,Tx Costs,AI Costs,Gross Profit,EBITDA,Cash End,Active Users,LTV,CAC
1,161.46,161.46,0.00,308.07,0.00,0.00,153.39,-146.61,49853.39,54,71.01,75.00
2,173.42,173.42,0.00,308.67,0.00,0.00,164.75,-135.25,49718.14,58,71.01,75.00
3,179.40,179.40,0.00,308.97,0.00,0.00,170.43,-129.57,49588.57,60,56.81,60.00
4,185.38,185.38,0.00,309.27,0.00,0.00,176.11,-123.89,49464.68,62,56.81,60.00
5,191.36,191.36,0.00,309.57,0.00,0.00,181.79,-118.21,49346.47,64,56.81,60.00
6,197.34,197.34,0.00,309.87,0.00,0.00,187.47,-112.53,49233.94,66,56.81,60.00
7,203.32,203.32,0.00,310.17,0.00,0.00,193.15,-106.85,49127.10,68,56.81,60.00
8,209.30,209.30,0.00,310.46,0.00,0.00,198.84,-101.16,49025.93,70,56.81,60.00
9,215.28,215.28,0.00,310.76,0.00,0.00,204.52,-95.48,48930.45,72,56.81,50.00
10,221.26,221.26,0.00,311.06,0.00,0.00,210.20,-89.80,48840.64,74,56.81,50.00
11,227.24,227.24,0.00,311.36,0.00,0.00,215.88,-84.12,48756.52,76,56.81,50.00
12,233.22,233.22,0.00,311.66,0.00,0.00,221.56,-78.44,48678.08,78,56.81,50.00
